Code ISIN;Catégorie Morningstar;Libellé du fonds;Société de gestion;Risque (SRI);Frais UC (B) %;Frais contrat (C) %;Frais totaux (B+C) %;Page
LU1670722161;OBLIGATIONS INTERNATIONALES HAUT RENDEMENT;M&G (Lux) Global Floating Rate High Yield Fund EUR A-H Acc;M&G Luxembourg S.A.;2;1,21;0,5;1,71;27
LU0073255761;OBLIGATIONS EURO HAUT RENDEMENT;Morgan Stanley Investment Funds - European High Yield Bond Fund A;MSIM Fund Management (Ireland) Limited;5;1,11;0,5;1,61;27
LU0132601682;OBLIGATIONS D'ENTREPRISE EUR;Morgan Stanley Investment Funds - Euro Corporate Bond Fund A;MSIM Fund Management (Ireland) Limited;3;1,04;0,5;1,54;27
LU0149084633;CONVERTIBLES INTERNATIONALES;Morgan Stanley Investment Funds - Global Convertible Bond Fund A (USD);MSIM Fund Management (Ireland) Limited;3;1,24;0,5;1,74;27
LU2257980289;Actions Secteur Environnement;Mandarine Global Transition R;Mandarine Gestion;4;2,22;0,5;2,72;27
FR0010698472;OBLIGATIONS EURO FLEXIBLES;Pluvalca RentOblig A;Montpensier Arbevel;2;0,96;0,5;1,46;27
LU1472740767;OBLIGATIONS MONDE;Mirova Funds - Mirova Global Green Bond Fund R/A (EUR);Natixis Investment Managers International;3;1,05;0,5;1,55;27
IE00B23XD337;OBLIGATIONS INTERNATIONALES FLEXIBLES;Natixis International Funds (Dublin) I - Loomis Sayles Multisector Income Fund R/A (EUR);Natixis Investment Managers S.A.;3;1,5;0,5;2;27
IE00B11XZ434;OBLIGATIONS D'ENTREPRISE INTERNATIONALES;PIMCO GIS Global Investment Grade Credit Fund E Class EUR (Hedged) Accumulation;PIMCO Global Advisors (Ireland) Limited;3;1,39;0,5;1,89;27
LU0170994346;OBLIGATIONS EMERGENTES EN DEVISES FORTES;Pictet-Global Emerging Debt-HP EUR;Pictet Asset Management (Europe) S.A.;3;1,42;0,5;1,92;27
LU0280437673;OBLIGATIONS EMERGENTES EN DEVISES LOCALES;Pictet-Emerging Local Currency Debt P EUR;Pictet Asset Management (Europe) S.A.;3;1,54;0,5;2,04;27
LU2696109219;OBLIGATIONS D'ENTREPRISE EUR;Quaero Capital Funds (Lux) - Bond Investment Opportunity D EUR Acc;Quaero Capital;2;1,35;0,5;1,85;28
FR0010827139;OBLIGATIONS D'ETAT EUR COURT TERME;Hugau Obli 1-3 R;Richelieu Invest;2;2,35;0,5;2,85;28
LU0085136942;OBLIGATIONS INTERNATIONALES HAUT RENDEMENT;Robeco High Yield Bonds DH €;Robeco Institutional AM BV;2;1,32;0,5;1,82;28
FR0007008750;OBLIGATIONS D'ENTREPRISE EUR;R-co Conviction Credit Euro C EUR;Rothschild & Co Asset Management Europe;2;0,82;0,5;1,32;28
FR0010697482;OBLIGATIONS D'ENTREPRISE EUR COURT TERME;R-co Conviction Credit 12M Euro C EUR;Rothschild & Co Asset Management Europe;2;0,56;0,5;1,06;28
FR0014006PM4;OBLIGATIONS D'ENTREPRISE EUR COURT TERME;R-co Conviction Credit SD Euro - C EUR;Rothschild & Co Asset Management Europe;2;0,67;0,5;1,17;28
FR0012696102;OBLIGATIONS EURO FLEXIBLES;Sunny Multi-Oblig R;Sunny Asset Management;3;1,6;0,5;2,1;28
FR0013332418;REVENUS FIXES EUR;Swiss Life Funds (F) Opportunité High Yield 2028 P Cap;Swiss Life Asset Managers France;2;1;0,5;1,5;28
FR0011288513;OBLIGATIONS D'ENTREPRISE EUR;Sycomore Sélection Crédit R;Sycomore AM;2;1,2;0,5;1,7;28
FR0013505450;REVENUS FIXES EUR;TIKEHAU 2027;Tikehau Investment Management;3;1,4;0,5;1,9;28
LU1585265066;OBLIGATIONS D'ENTREPRISE EUR COURT TERME;Tikehau Short Duration R Cap;Tikehau Investment Management;2;1,14;0,5;1,64;28
LU2075980545;OBLIGATIONS USA;iMGP US Core Plus C EUR HP;iM Global Partner Asset Management S.A.;2;1,59;0,5;2,09;28
FR0000172041;IMMOBILIER - INDIRECT EUROPE;AXA Aedificandi AC;AXA Reim SGP;5;1,69;0,5;2,19;28
FR0007071378;ALLOCATION D'ACTIFS EUR PRUDENTE;Alienor Optimal A;Alienor Capital;5;2,01;0,5;2,51;28
FR0000992349;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;Allianz Multi Rendement Réel C;Allianz Global Investors GmbH;3;1,68;0,5;2,18;28
FR0010286013;DIVERSIFIES EUR FLEXIBLES;Sextant Grand Large A;Amiral Gestion;3;1,7;0,5;2,2;28
FR0010591362;ACTIONS FRANCE;Amundi CAC 40 Daily (- 1x) Inverse UCITS ETF Acc;Amundi;5;0,6;0,5;1,1;28
FR0011363746;DIVERSIFIES;SOLIDARITE - HABITAT ET HUMANISME;Amundi Asset Management;2;1,31;0,5;1,81;29
LU0068578508;ACTIONS MONDE GDES CAP.;FIRST EAGLE AMUNDI INTERNATIONAL FUND - AU (C);Amundi Luxembourg S.A.;3;2,26;0,5;2,76;29
FR0010772129;ALLOCATION D'ACTIFS EUR MODEREE;Athymis Patrimoine P;Athymis Gestion;2;4,4;0,5;4,9;29
FR0007072160;ALLOCATION D'ACTIFS EUR PRUDENTE;Trusteam Optimum R;Auris Gestion;2;1,44;0,5;1,94;29
FR0010174144;PERFORMANCE ABSOLUE EUR;BDL Rempart C;BDL Capital Management;3;2,3;0,5;2,8;29
FR0007020201;DIVERSIFIES;GF Ambition Solidaire P;BNP Paribas Asset Management France;3;1,31;0,5;1,81;29
LU0784385840;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;BlackRock Global Funds - Global Multi-Asset Income Fund A2;Blackrock (Luxembourg) S.A.;3;1,8;0,5;2,3;29
FR0010097642;DIVERSIFIES INTERNATIONAUX DYNAMIQUES;CPR Croissance Dynamique - P;CPR Asset Management;4;1,77;0,5;2,27;29
FR0010097667;ALLOCATION D'ACTIFS EUR TRES PRUDENTE;CPR Croissance Défensive - P;CPR Asset Management;2;1,51;0,5;2,01;29
FR0010097683;ALLOCATION D'ACTIFS EUR MODEREE;CPR Croissance Réactive - P;CPR Asset Management;3;1,94;0,5;2,44;29
FR0010135103;DIVERSIFIES INTERNATIONAUX EQUILIBRES;Carmignac Patrimoine A EUR acc;Carmignac Gestion;3;1,51;0,5;2,01;29
FR0010147603;DIVERSIFIES INTERNATIONAUX FLEXIBLES;Carmignac Investissement Latitude A EUR acc;Carmignac Gestion;3;1,25;0,5;1,75;29
FR0010149203;DIVERSIFIES INTERNATIONAUX FLEXIBLES;Carmignac Multi Expertise A EUR Acc;Carmignac Gestion;4;2,05;0,5;2,55;29
LU0592698954;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;Carmignac Portfolio - Emerging Patrimoine A EUR Acc;Carmignac Gestion Luxembourg;3;1,81;0,5;2,31;29
FR0000002164;ALLOCATION D'ACTIFS EUR MODEREE;Covéa Flexible ISR C;Covea Finance;3;1,51;0,5;2,01;29
FR0007051040;ALLOCATION D'ACTIFS EUR PRUDENTE;Eurose;DNCA Finance;2;1,5;0,5;2;29
LU1907594748;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;DNCA Invest Beyond Alterosa A;DNCA Finance;2;1,55;0,5;2,05;29
LU2661119755;DIVERSIFIES EUR FLEXIBLES;DNCA Invest Evolutif SI C;DNCA Finance;3;2,3;0,5;2,8;29
FR0010557967;DIVERSIFIES EUR FLEXIBLES;Dorval Convictions RC;Dorval Asset Management;3;1,84;0,5;2,34;30
FR0010687053;DIVERSIFIES INTERNATIONAUX FLEXIBLES;Dorval Global Allocation RC;Dorval Asset Management;3;2,02;0,5;2,52;30
FR0010177899;DIVERSIFIES;Choix Solidaire C;Ecofi Investissements;3;0,9;0,5;1,4;30
FR0010642280;THEMATIQUES CLIMAT;Ecofi Agir Pour Le Climat C;Ecofi Investissements;4;2;0,5;2,5;30
FR0010041822;ALLOCATION D'ACTIFS EUR MODEREE;Edmond de Rothschild Patrimoine A;Edmond de Rothschild Asset Management (France);3;1,78;0,5;2,28;30
FR0013219243;ALLOCATION D'ACTIFS EUR PRUDENTE;EdR SICAV - Equity Euro Solve A EUR;Edmond de Rothschild Asset Management (France);4;1,6;0,5;2,1;30
LU0992632538;ALLOCATION D'ACTIFS EUR PRUDENTE;Edmond de Rothschild Fund - Income Europe A EUR;Edmond de Rothschild Asset Management (Luxembourg);3;1,58;0,5;2,08;30
LU2221884310;ACTIONS MONDE GDES CAP.;Edmond de Rothschild Fund - Human Capital A EUR;Edmond de Rothschild Asset Management (Luxembourg);4;1,97;0,5;2,47;30
FR0010611301;ALLOCATION D'ACTIFS EUR MODEREE;G Patrimoine;Erasmus Gestion;6;3,4;0,5;3,9;30
LU0987487336;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;Fidelity Funds - Global Multi Asset Income Fund A-Acc-EUR;FIL Investment Management (Luxembourg) S.A.;3;1,75;0,5;2,25;30
LU1234787460;ACTIONS SECTEUR SANTE;Generali Investments SICAV - Sycomore Ageing Population DX EUR;Generali Investments Luxembourg S.A;4;1,7;0,5;2,2;30
FR0011153014;DIVERSIFIES INTERNATIONAUX FLEXIBLES;Ginjer Actifs 360 A;Ginjer AM;4;1,85;0,5;2,35;30
FR0007495049;ALLOCATION D'ACTIFS EUR MODEREE;HMG Rendement D;HMG FINANCE;3;2,3;0,5;2,8;30
LU0243957742;ALLOCATION D'ACTIFS EUR PRUDENTE;Invesco Funds - Invesco Pan European High Income Fund E Accumulation EUR;Invesco Management S.A.;2;2,11;0,5;2,61;30
LU0740858492;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;JPM Global Income D (acc) - EUR;JP Morgan Asset Management (Europe) S.à r.l.;3;1,76;0,5;2,26;30
FR0000980427;ALLOCATION D'ACTIFS EUR PRUDENTE;Keren Patrimoine C;Keren Finance;3;1,58;0,5;2,08;30
FR00140018M8;CONVERTIBLES EUR;LBPAM ISR Convertibles Europe L;La Banque Postale AM;3;1,27;0,5;1,77;31
FR0010434019;ALLOCATION D'ACTIFS EUR PRUDENTE;Echiquier Patrimoine A;La Financière de l'Echiquier;2;1,02;0,5;1,52;31
FR0010611293;ALLOCATION D'ACTIFS EUR MODEREE;Echiquier Arty SRI A;La Financière de l'Echiquier;2;1,52;0,5;2,02;31
FR0000292302;ALLOCATION D'ACTIFS EUR MODEREE;Lazard Patrimoine Croissance C;Lazard Frères Gestion;3;1,95;0,5;2,45;31
FR0007028543;ALLOCATION D'ACTIFS EUR PRUDENTE;Lazard Patrimoine Opportunities SRI RC EUR;Lazard Frères Gestion;3;1,59;0,5;2,09;31
FR0010858498;CONVERTIBLES INTERNATIONALES;Lazard Convertible Global RC EUR;Lazard Frères Gestion;3;1,5;0,5;2;31
LU1582988058;DIVERSIFIES INTERNATIONAUX FLEXIBLES;M&G (Lux) Dynamic Allocation Fund EUR A Acc;M&G Luxembourg S.A.;3;1,97;0,5;2,47;31
LU1670724373;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;M&G (Lux) Optimal Income Fund EUR A Acc;M&G Luxembourg S.A.;3;1,34;0,5;1,84;31
FR0010400762;PERFORMANCE ABSOLUE EUR;Moneta Long Short A;Moneta Asset Management;3;1,5;0,5;2;31
FR0010466128;ALLOCATION D'ACTIFS EUR PRUDENTE;Pluvalca Alterna Plus;Montpensier Arbevel;2;1,08;0,5;1,58;31
LU0227384020;ALLOCATION D'ACTIFS INTERNATIONALE PRUDENTE;Nordea 1 - Stable Return Fund BP EUR;Nordea Investment Funds S.A.;3;1,79;0,5;2,29;31
DE000A2JJ1W5;ALLOCATION D'ACTIFS INTERNATIONALE PRUDENTE;ODDO BHF Polaris Moderate CR EUR;ODDO BHF Asset Management GMBH;2;1,19;0,5;1,69;31
LU1864504425;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;ODDO BHF Exklusiv: Polaris Balanced CRW- EUR;ODDO BHF Asset Management Lux;3;1,59;0,5;2,09;31
FR0010109165;DIVERSIFIES EUR FLEXIBLES;Oddo BHF Proactif Europe CR-EUR;ODDO BHF Asset Management S.A.S.;3;1,6;0,5;2,1;31
FR0010564351;ALLOCATION D'ACTIFS EUR MODEREE;Ofi Invest ESG MultiTrack R;OFI Asset Management;3;1,52;0,5;2,02;31
FR0011170182;MATIERES PREMIERES - OR;Ofi Invest Precious Metals R;OFI Asset Management;5;1,51;0,5;2,01;31
LU1279334210;THEMATIQUES INTELLIGENCE ARTIFICIELLE;Pictet - Robotics P EUR;Pictet Asset Management (Europe) S.A.;5;1,98;0,5;2,48;31
LU1279334996;THEMATIQUES INTELLIGENCE ARTIFICIELLE;Pictet - Robotics HP EUR;Pictet Asset Management (Europe) S.A.;5;2,03;0,5;2,53;31
FR0007009139;CONVERTIBLES EUR;R-co Conviction Convertibles Europe C EUR;Rothschild & Co Asset Management Europe;3;1,51;0,5;2,01;32
FR0007028907;ALLOCATION D'ACTIFS EUR MODEREE;R-co OPAL Modéré C EUR;Rothschild & Co Asset Management Europe;3;1,77;0,5;2,27;32
FR0010541557;ACTIONS EUROPE GDES CAP. MIXTE;R-co Conviction Club C EUR;Rothschild & Co Asset Management Europe;4;1,61;0,5;2,11;32
FR0011253624;DIVERSIFIES INTERNATIONAUX FLEXIBLES;R-co Valor C EUR;Rothschild & Co Asset Management Europe;4;1,48;0,5;1,98;32
FR0011261197;DIVERSIFIES INTERNATIONAUX FLEXIBLES;R-co Valor F EUR;Rothschild & Co Asset Management Europe;4;1,83;0,5;2,33;32
FR0013367281;DIVERSIFIES INTERNATIONAUX EQUILIBRES;R-co Valor Balanced F EUR;Rothschild & Co Asset Management Europe;3;1,67;0,5;2,17;32
FR0010640029;ALLOCATION D'ACTIFS EUR MODEREE;Sanso Patrimoine C;Sanso Longchamp;2;1,63;0,5;2,13;32
FR0010813329;REVENUS FIXES EUR;Sanso Objectif Rendement 2031 A;Sanso Longchamp;2;1,29;0,5;1,79;32
LU0279459456;ACTIONS MARCHÉS EMERGENTS;Schroder International Selection Fund Global Emerging Market Opportunities A Accumulation EUR;Schroder Investment Management (Europe) S.A.;4;1,86;0,5;2,36;32
FR0010308825;ALLOCATION D'ACTIFS EUR PRUDENTE;Swiss Life Funds (F) Multi Asset Moderate P;Swiss Life Asset Managers France;3;1,8;0,5;2,3;32
FR0007078589;ALLOCATION D'ACTIFS EUR MODEREE;Sycomore Allocation Patrimoine R;Sycomore AM;2;1,61;0,5;2,11;32
FR0010120931;PERFORMANCE ABSOLUE EUR;Sycomore L/S Opportunities A;Sycomore AM;3;1,3;0,5;1,8;32
FR0010363366;PERFORMANCE ABSOLUE EUR;Sycomore L/S Opportunities R;Sycomore AM;3;1,8;0,5;2,3;32
FR0010738120;ALLOCATION D'ACTIFS EUR MODEREE;Sycomore Partners P;Sycomore AM;3;1,8;0,5;2,3;32
FR0010487512;ALLOCATION D'ACTIFS EUR TRES PRUDENTE;Tailor Allocation Defensive C;Tailor AM;3;2,29;0,5;2,79;32
FR0011845650;ALLOCATION D'ACTIFS EUR MODEREE;Tailor Allocation Reactive C;Tailor AM;3;2,55;0,5;3,05;32
FR0010626291;ALLOCATION D'ACTIFS EUR MODEREE;LMdG Flex Patrimoine (EUR) R Eur;UBS La Maison de Gestion;2;2,62;0,5;3,12;32
IE00BMVB5K07;ALLOCATION D'ACTIFS INTERNATIONALE TRES PRUDENTE;Vanguard LifeStrategy 20% Equity UCITS ETF (EUR) Accumulating;Vanguard Group (Ireland) Limited;3;4,85;0,5;5,35;32
IE00BMVB5M21;ALLOCATION D'ACTIFS INTERNATIONALE PRUDENTE;Vanguard LifeStrategy 40% Equity UCITS ETF (EUR) Accumulating;Vanguard Group (Ireland) Limited;3;9,68;0,5;10,18;33
IE00BMVB5P51;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;Vanguard LifeStrategy 60% Equity UCITS ETF (EUR) Accumulating;Vanguard Group (Ireland) Limited;3;14,27;0,5;14,77;33
IE00BMVB5R75;ALLOCATION D'ACTIFS INTERNATIONALE DYNAMIQUE;Vanguard LifeStrategy 80% Equity UCITS ETF (EUR) Accumulating;Vanguard Group (Ireland) Limited;4;19,23;0,5;19,73;33
FR0013142551;IMMOBILIER - INDIRECT EUROPE;OPCI Silver Generation;A Plus Finance S.A.S.;2;1,43;0,5;1,93;33
FR0011066778;IMMOBILIER - INDIRECT EUROPE;OPCIMMO VIE;Amundi Immobilier;2;2,17;0,5;2,67;33
FR0011513563;IMMOBILIER - INDIRECT EUROPE;OPCI BNP Paribas Diversipierre;BNP PARIBAS Reim;2;2,31;0,5;2,81;33
FR0010672451;IMMOBILIER - INDIRECT EUROPE;LF OPSIS PATRIMOINE PARTENAIRES;La Française Real Estate Managers;3;1,69;0,5;2,19;33
FR0013260262;IMMOBILIER - INDIRECT EUROPE;OPCI Sofidy Pierre Europe - A;Sofidy;2;2,12;0,5;2,62;33
FR0013219722;IMMOBILIER - INDIRECT EUROPE;OPCI Swisslife ESG Dynapierre;Swiss Life Asset Managers France;2;1,62;0,5;2,12;33
FR0010149179;PERFORMANCE ABSOLUE EUR;Carmignac Absolute Return Europe A EUR Acc;Carmignac Gestion;3;2,3;0,5;2,8;33
LU0641745681;PERFORMANCE ABSOLUE EUR;DNCA Invest One - Part B;DNCA Finance;3;2,14;0,5;2,64;33
LU0322251520;ACTIONS ETATS-UNIS GDES CAP. MIXTE;Xtrackers S&P 500 Inverse Daily Swap UCITS ETF 1C;DWS Investment S.A.;4;2,01;0,5;2,51;33
LU0411078552;ACTIONS ETATS-UNIS GDES CAP. MIXTE;Xtrackers S&P 500 2x Leveraged Daily Swap UCITS ETF 1C;DWS Investment S.A.;5;1,76;0,5;2,26;33
LU1920211973;PERFORMANCE ABSOLUE EUR;Eleva Absolute Return Europe A2 (EUR) acc;Eleva Capital;2;2,38;0,5;2,88;34
LU0616900774;PERFORMANCE ABSOLUE EUR;Exane Funds 2 Exane Pleiade Fund B EUR Accumulation;Exane Asset Management;2;2,13;0,5;2,63;34
LU0281483569;ACTIONS ETATS-UNIS GDES CAP. MIXTE;JPMF US Select Equity Plus A;JP Morgan Asset Management (Europe) S.à r.l.;4;1,71;0,5;2,21;34
LU1670719613;OBLIGATIONS INTERNATIONALES FLEXIBLES;M&G (Lux) Global Macro Bond Fund EUR A Acc;M&G Luxembourg S.A.;3;1,47;0,5;1,97;34
LU0255979402;ACTIONS JAPON;Pictet-Japanese Equity Opportunities;Pictet Asset Management (Europe) S.A.;4;1,57;0,5;2,07;34
LU0496443887;ACTIONS CHINE;Pictet TR - Mandarin HP EUR;Pictet Asset Management (Europe) S.A.;4;2,02;0,5;2,52;34
LU0912262275;PERFORMANCE ABSOLUE EUR;Helium Fund - Helium Performance B EUR;Syquant Capital;2;1,92;0,5;2,42;34
LU1112771503;PERFORMANCE ABSOLUE EUR;Helium Fund - Helium Selection B-EUR;Syquant Capital;2;1,92;0,5;2,42;34
LU2147879543;DIVERSIFIES INTERNATIONAUX FLEXIBLES;Tikehau International Cross Assets - R-Acc- EUR;Tikehau Investment Management;3;1,65;0,5;2,15;34
LU2358389745;ALLOCATION D'ACTIFS INTERNATIONALE FLEXIBLE;Varenne UCITS - Varenne Global A EUR Accumulation;Varenne Capital Partners;4;2,09;0,5;2,59;34
LU2358392376;ALLOCATION D'ACTIFS INTERNATIONALE FLEXIBLE;Varenne UCITS - Varenne Valeur A EUR Acc;Varenne Capital Partners;3;1,91;0,5;2,41;34
FR001400JH55;DIVERSIFIES;Edmond de Rothschild Private Equity Opportunities FCPR - Part A;Edmond de Rothschild Private Equity;7;0,15;0,5;0,65;34
LU0568621618;MONETAIRE INTERNATIONALE;AMUNDI FUNDS CASH USD - A2 USD (C);Amundi Luxembourg S.A.;1;0,50%;0,5;0,505;34
FR0000288946;MONETAIRE EUR;Axa Court Terme A – C;Axa Investment Managers Paris;1;0,30%;0,5;0,503;35
SCPI00004549;IMMOBILIER - INDIRECT EUROPE;ACTIVIMMO;ALDERAN;3;0,60%;0,5;0,506;35
FR0013486446;DIVERSIFIES;FCPR Ardian Multi stratégies;ARDIAN FRANCE;7;0,40%;0,5;0,504;35
SCPI00004279;IMMOBILIER - INDIRECT EUROPE;Atream Hôtels;ATREAM;4;0,40%;0,5;0,504;35
FR001400C4M8;IMMOBILIER - INDIRECT EUROPE;SCI LINASENS;Aestiam;3;0,25%;0,5;0,5025;35
FR0013442845;IMMOBILIER - INDIRECT EUROPE;OPCI ALTIXIA VALEUR P;Altixia REIM;2;0,30%;0,5;0,503;35
SCPI00004469;IMMOBILIER - INDIRECT EUROPE;Altixia Cadence XII;Altixia REIM;3;0,30%;0,5;0,503;35
FR001400YA12;ACTIONS ETATS-UNIS GDES CAP. MIXTE;Amplegest Pricing Power US ACH;Amplegest;4;0,3;0,5;0,8;35
SCPI00000409;IMMOBILIER - INDIRECT EUROPE;Edissimmo;Amundi;3;0,30%;0,5;0,503;35
SCPI00001019;IMMOBILIER - INDIRECT EUROPE;Rivoli Avenir Patrimoine;Amundi;3;0,65%;0,5;0,5065;35
FR0010424135;ACTIONS EUROPE ZONE EURO;Amundi EURO STOXX 50 Daily (-1x) Inverse UCITS ETF Acc;Amundi Asset Management;5;1,4;0,5;1,9;35
LU1650488494;OBLIGATIONS D'ETAT EUR;Amundi Euro Government Bond 3-5Y UCITS ETF Acc;Amundi Asset Management;3;0,15;0,5;0,65;35
LU1829218749;MATIERES PREMIERES - METAUX INDUSTRIELS;Amundi Bloomberg Equal-weight Commodity ex- Agriculture UCITS ETF Acc;Amundi Asset Management;4;0,80%;0,5;0,508;35
FR0013428349;IMMOBILIER - INDIRECT EUROPE;SC Tangram;Amundi Immobilier;3;0,38%;0,5;0,5038;35
IE000BI8OT95;ACTIONS MONDE GDES CAP.;Amundi MSCI World UCITS ETF Acc;Amundi Luxembourg S.A.;4;0,2;0,5;0,7;35
IE000MYCJA42;ACTIONS ETATS-UNIS GDES CAP. MIXTE;Amundi MSCI North America ESG Broad Transition UCITS ETF Acc;Amundi Luxembourg S.A.;4;0,30%;0,5;0,503;36
IE000R85HL30;ACTIONS ETATS-UNIS GDES CAP. MIXTE;Amundi MSCI USA SRI Climate Paris Aligned UCITS ETF Acc;Amundi Luxembourg S.A.;4;0,35%;0,5;0,5035;36
IE000Y77LGG9;ACTIONS MONDE GDES CAP.;Amundi MSCI World SRI Climate Paris Aligned UCITS ETF Acc;Amundi Luxembourg S.A.;4;0,18;0,5;0,68;36
LU2089238625;OBLIGATIONS D'ENTREPRISE EUR;AMUNDI EUR CORPORATE BOND UCITS ETF Acc;Amundi Luxembourg S.A.;2;0,16;0,5;0,66;36
FR0013416716;MATIERES PREMIERES - OR;Amundi Physical Gold ETC C;Amundi Physical Metals plc;4;0,2;0,5;0,7;36
FR001400UG93;REVENUS FIXES EUR;Schelcher Global Yield 2031 P;Arkea Asset Management;3;0,2;0,5;0,7;36
FR0013526100;IMMOBILIER - INDIRECT EUROPE;SCI SILVER AVENIR;Arkea Reim;3;2,20%;0,5;0,522;36
SCPI00003929;IMMOBILIER - INDIRECT EUROPE;Epargne Pierre;Atland Voisin;3;1,65%;0,5;0,5165;36
FR001400BY52;ACTIONS MONDE GDES CAP.;TF Global Client Focus R;Auris Gestion;4;0,07%;0,5;0,5007;36
FR001400JNU1;REVENUS FIXES EUR;Axiom 2027 RC EUR;Axiom Alternative Investments;2;0,20%;0,5;0,502;36
FR0014009XS9;IMMOBILIER - INDIRECT EUROPE;SC PIERRE IMPACT;BNP PARIBAS Reim;2;0,40%;0,5;0,504;36
IE000FF2EBQ8;SECTEUR INFRASTRUCTURES;BNP Paribas EASY ECPI Global ESG Infrastructure UCITS ETF EUR;BNP Paribas Asset Management Europe;3;0,1;0,5;0,6;36
LU1931957093;MATIERES PREMIERES - METAUX INDUSTRIELS;BNP Paribas Flexi I Commodities Classic Hedged EUR Capitalisation;BNP Paribas Asset Management Luxembourg;4;0,60%;0,5;0,506;36
LU0171283459;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;BlackRock Global Funds - Global Allocation Fund A2;Blackrock (Luxembourg) S.A.;3;2,01%;0,5;0,5201;37
FR00140081Y1;REVENUS FIXES EUR;Carmignac Credit 2027 A EUR Acc;Carmignac Gestion;2;1,76%;0,5;0,5176;37
FR001400KAV4;REVENUS FIXES EUR;Carmignac Credit 2029 A Eur Acc;Carmignac Gestion;2;0,15%;0,5;0,5015;37
FR001400U4S3;REVENUS FIXES EUR;Carmignac Credit 2031 A EUR Acc;Carmignac Gestion;2;0,30%;0,5;0,503;37
LU2809794220;THEMATIQUES TECHNOLOGIE;Carmignac Portfolio Tech Solutions A EUR Acc;Carmignac Gestion Luxembourg;5;0,15;0,5;0,65;37
LU2882334381;ACTIONS EUROPE ZONE EURO PETITES & MOY. CAP.;DNCA Invest Explorer SMID Euro B EUR Acc;DNCA Finance;4;0,18;0,5;0,68;37
LU3077229097;ACTIONS MONDE GDES CAP.;DNCA Global New World B EUR;DNCA Finance;5;0,2;0,5;0,7;37
FR001400S0Q9;REVENUS FIXES EUR;Eiffel Rendement 2030 R EUR;EIFFEL INVESTMENT GROUP;3;0,18%;0,5;0,5018;37
FR001400BCG0;SECTEUR INFRASTRUCTURES;FCPR Eiffel Infrastructures Vertes Part C;EIFFEL INVESTMENT GROUP;3;0,16%;0,5;0,5016;37
FR0013304136;DIVERSIFIES;FCPR Extend Sunny oblig et foncier;EXTENDAM;6;0,20%;0,5;0,502;37
FR001400FUB4;ACTIONS EUROPE GDES CAP. MIXTE;EdR SICAV European Catalysts A Eur;Edmond de Rothschild Asset Management (France);4;0,20%;0,5;0,502;37
FR00140120M2;REVENUS FIXES EUR;Edmond de Rothschild SICAV Millesima 2032 A EUR;Edmond de Rothschild Asset Management (France);2;0,3;0,5;0,8;37
FR0013301553;DIVERSIFIES;FCPR Eurazeo Private Value Europe 3;Eurazeo Investment Manager;3;0,15%;0,5;0,5015;37
FR0014005KJ3;IMMOBILIER - INDIRECT EUROPE;SC Trajectoire Santé_Part A;Euryale Asset Management;3;0,18%;0,5;0,5018;37
SCPI00003969;IMMOBILIER - INDIRECT EUROPE;PIERVAL SANTE;Euryale Asset Management;3;0,20%;0,5;0,502;37
FR001400M279;IMMOBILIER - INDIRECT EUROPE;SC France Valley Terra Europe;France Valley;3;0,30%;0,5;0,503;37
FR001400L0X2;DIVERSIFIES;Blackstone Crédit Privé Europe SC;IQ-EQ;3;0,30%;0,5;0,503;38
SCPI00004669;IMMOBILIER - INDIRECT EUROPE;SCPI Iroko Zen;IROKO;3;0,35%;0,5;0,5035;38
FR0013222353;DIVERSIFIES;ISATIS CAPITAL VIE & RETRAITE;ISATIS Capital;3;0,07%;0,5;0,5007;38
FR001400BJT8;REVENUS FIXES EUR;IVO 2028 R;IVO Capital Partners;2;0,35%;0,5;0,5035;38
FR001400Y4C3;PERFORMANCE ABSOLUE EUR;Echiquier Absolute Return Credit A;La Financière de l'Echiquier;2;0,35;0,5;0,85;38
FR0013488020;IMMOBILIER - INDIRECT EUROPE;SCP LFP Multimmo - Part Philosophale 2;La Française Real Estate Managers;2;0,35%;0,5;0,5035;38
FR0013488038;IMMOBILIER - INDIRECT EUROPE;SCP LFP Multimmo - Part LFP UniCimmo;La Française Real Estate Managers;2;0,30%;0,5;0,503;38
FR001400FJK8;IMMOBILIER - INDIRECT EUROPE;SCI IMMO TREND PRIME - part B;La Française Real Estate Managers;2;0,35%;0,5;0,5035;38
SCPI00000449;IMMOBILIER - INDIRECT EUROPE;Epargne Foncière;La Française Real Estate Managers;4;0,30%;0,5;0,503;38
SCPI00004019;IMMOBILIER - INDIRECT EUROPE;LF Europimmo;La Française Real Estate Managers;4;0,24%;0,5;0,5024;38
LU2786374178;REVENUS FIXES EUR;Mandarine SICAV Global Target 2030 C;Mandarine Gestion;3;1,25;0,5;1,75;38
