Code ISIN;Catégorie Morningstar;Libellé du fonds;Société de gestion;Risque (SRI);Frais UC (B) %;Frais contrat (C) %;Frais totaux (B+C) %;Page
LU0552385295;ACTIONS MONDE GDES CAP.;Morgan Stanley Investment Funds - Global Opportunity Fund A;MSIM Fund Management (Ireland) Limited;5;1,84;0,5;2,34;18
LU1378879248;ACTIONS ASIE-PACIFIQUE HORS JAPON;Morgan Stanley Investment Funds - Asia Opportunity Fund AH (EUR);MSIM Fund Management (Ireland) Limited;5;1,92;0,5;2,42;18
LU0308864023;ACTIONS EUROPE GDES CAP. MIXTE;MainFirst Top European Ideas A;MainFirst Affiliated Fund Managers S.A.;4;2;0,5;2,5;18
LU0390221256;ACTIONS EUROPE ZONE EURO;MainFirst Germany Fund A;MainFirst Affiliated Fund Managers S.A.;4;2,02;0,5;2,52;18
LU0864709349;ACTIONS MONDE GDES CAP.;MainFirst Global Equities Fund A;MainFirst Affiliated Fund Managers S.A.;4;1,97;0,5;2,47;18
FR0010396382;ACTIONS EUROPE GDES CAP. MIXTE;Mandarine Equity Income R;Mandarine Gestion;4;2,34;0,5;2,84;19
FR0010657122;ACTIONS EUROPE FLEX CAP;Mandarine Opportunités R;Mandarine Gestion;4;2,27;0,5;2,77;19
LU0489687243;ACTIONS EUROPE PETITES & MOY. CAP.;Mandarine Funds - Mandarine Unique Small & Mid Caps Europe R;Mandarine Gestion;4;2,22;0,5;2,72;19
LU1303940784;ACTIONS EUROPE PETITES & MOY. CAP.;Mandarine Funds - Mandarine Europe Microcap R;Mandarine Gestion;4;2,23;0,5;2,73;19
LU1329694266;ACTIONS MONDE PETITES & MOY. CAP.;Mandarine Funds - Mandarine Global Microcap R;Mandarine Gestion;4;2,27;0,5;2,77;19
LU2052475568;ACTIONS MONDE GDES CAP.;Mandarine Funds - Mandarine Social Leaders R;Mandarine Gestion;4;2,23;0,5;2,73;19
FR0010298596;ACTIONS EUROPE FLEX CAP;Moneta Multi Caps C;Moneta Asset Management;4;1,49;0,5;1,99;19
FR0010591123;ACTIONS EUROPE GDES CAP. MIXTE;Montbleu Etoiles C;Montbleu Finance;4;2,44;0,5;2,94;19
FR0000422859;ACTIONS FRANCE PETITES & MOY. CAP.;Pluvalca Small Caps A;Montpensier Arbevel;4;2,29;0,5;2,79;19
FR0013076528;THEMATIQUES TECHNOLOGIE;PLUVALCA DISRUPTIVE OPPORTUNITIES - A;Montpensier Arbevel;4;2;0,5;2,5;19
FR0013079761;ACTIONS MONDE GDES CAP.;Best Business Models SRI RC;Montpensier Arbevel;4;2,3;0,5;2,8;19
FR0013383825;ACTIONS MONDE GDES CAP.;Pluvalca Sustainable Opportunities Act A;Montpensier Arbevel;4;2,2;0,5;2,7;19
FR0011381201;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;ABCM Global Allocation R;Montségur Finance;3;3,25;0,5;3,75;19
FR0010058529;ACTIONS EUROPE GDES CAP. MIXTE;THEMATICS EUROPE SELECTION R (C);Natixis Investment Managers International;4;1,7;0,5;2,2;19
FR0010702084;ACTIONS FRANCE;Insertion Emplois Dynamique R (C);Natixis Investment Managers International;4;1,83;0,5;2,33;19
LU0914729966;ACTIONS MONDE GDES CAP.;Mirova Funds - Mirova Global Sustainable Equity Fund R/A (EUR);Natixis Investment Managers International;4;1,85;0,5;2,35;19
LU0914731947;ACTIONS EUROPE ZONE EURO;Mirova Funds - Mirova Euro Sustainable Equity Fund R/A (EUR);Natixis Investment Managers International;4;1,83;0,5;2,33;20
LU0914733059;ACTIONS SECTEUR ENVIRONNEMENT;Mirova Funds - Mirova Europe Environmental Equity Fund R/A (EUR);Natixis Investment Managers International;4;1,85;0,5;2,35;20
LU1435385163;ACTIONS ETATS-UNIS GDES CAP. CROISSANCE;Natixis International Funds (Lux) I - Loomis Sayles U.S. Growth Equity Fund R/A (EUR);Natixis Investment Managers S.A.;5;1,8;0,5;2,3;20
LU1435385593;ACTIONS ETATS-UNIS GDES CAP. CROISSANCE;Natixis International Funds (Lux) I - Loomis Sayles U.S. Growth Equity Fund R/A (H- EUR);Natixis Investment Managers S.A.;5;1,8;0,5;2,3;20
LU1951200481;THEMATIQUES INTELLIGENCE ARTIFICIELLE;Natixis International Funds (Lux) I - Thematics AI and Robotics Fund R/A (EUR);Natixis Investment Managers S.A.;5;2,05;0,5;2,55;20
LU1951204046;ACTIONS THEMATIQUES;Natixis International Funds (Lux) I - Thematics Meta Fund R/A (EUR);Natixis Investment Managers S.A.;4;2,05;0,5;2,55;20
LU1951225553;ACTIONS SECTEUR SERVICES;Natixis International Funds (Lux) I - Thematics Safety Fund R/A (EUR);Natixis Investment Managers S.A.;5;2,05;0,5;2,55;20
