Code ISIN;Libellé du fonds;Société de gestion;Catégorie Morningstar;Risque (SRI);Frais UC (B) %;Frais contrat (C) %;Frais totaux (B+C) %
LU0048588080;Fidelity Funds - Nordic Fund A-DIST-SEK;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS EUROPE DU NORD PETITES & MOY. CAP.;4;1,50%;0,60%;2,10%
LU0048597586;Fidelity Funds - Asia Equity ESG Fund A-DIST-USD;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS ASIE-PACIFIQUE HORS JAPON;4;1,50%;0,60%;2,10%
LU0048621477;Fidelity Funds - Thailand Fund A-DIST-USD;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS MARCHÉS EMERGENTS ASIE;4;1,50%;0,60%;2,10%
LU0049112450;Fidelity Funds - Pacific Fund A-DIST-USD;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS PACIFIQUE EX-JAPON;4;1,50%;0,60%;2,10%
LU0053685029;JPMorgan Funds - Europe Equity Fund A (dist) - EUR;JPMorgan Asset Management (Europe) S.à r.l.;ACTIONS EUROPE GDES CAP. MIXTE;4;1,00%;0,60%;1,60%
LU0053696224;JPMorgan Funds - Japan Equity Fund A (dist) - USD;JPMorgan Asset Management (Europe) S.à r.l.;ACTIONS JAPON;5;1,50%;0,60%;2,10%
LU0054237671;Fidelity Funds - Asian Special Situations Fund A-DIST-USD;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS ASIE-PACIFIQUE HORS JAPON;4;1,50%;0,60%;2,10%
LU0054578231;BlackRock Global Funds - Systematic Global SmallCap Fund A2;BlackRock (Luxembourg) SA;ACTIONS MONDE PETITES & MOY. CAP.;5;1,50%;0,60%;2,10%
LU0054754816;Fidelity Funds - Switzerland Fund A-DIST-CHF;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS SUISSE;4;1,50%;0,60%;2,10%
LU0069449576;Fidelity Funds - World Fund A-DIST-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS MONDE GDES CAP.;4;1,50%;0,60%;2,10%
LU0069452018;FF - Japan Equity ESG Fund A-Dist-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS JAPON;4;1,50%;0,60%;2,10%
LU0069452877;Fidelity Funds - Asia Equity ESG Fund A-DIST-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS ASIE-PACIFIQUE HORS JAPON;4;1,50%;0,60%;2,10%
LU0072462186;BlackRock Global Funds - European Value Fund A2;BlackRock (Luxembourg) SA;"ACTIONS EUROPE GDES CAP. ""VALUE""";4;1,50%;0,60%;2,10%
LU0073503921;UBAM - Swiss Equity AC CHF;UBP Asset Management (Europe) S.A.;ACTIONS SUISSE;4;1,00%;0,60%;1,60%
