annee;taux_brut_%;frais_gestion_%;taux_net_publie_%;prelevements_sociaux_%;taux_net_apres_ps_%
2014;3.1;0.6;2.5;0.43;2.07
2015;2.9;0.6;2.3;0.3956;1.9044
2016;2.6;0.6;2.0;0.344;1.656
2017;2.6;0.6;2.0;0.344;1.656
2018;2.6;0.6;2.0;0.344;1.656
2019;2.2;0.6;1.6;0.2752;1.3248
2020;1.9;0.6;1.3;0.2236;1.0764
2021;1.9;0.6;1.3;0.2236;1.0764
2022;2.4;0.6;1.8;0.3096;1.4904
2023;3.1;0.6;2.5;0.43;2.07
2024;2.8;0.6;2.2;0.3784;1.8216
2025;2.7;0.6;2.1;0.3612;1.7388
